,Gene,ENSEMBL_ID,Brum.HAP1.GTS,Brum.KBM7.GTS,Saba15.KBM7.cs,Saba15.KBM7.fdr,Saba15.K562.cs,Saba15.K562.fdr,Saba15.Jiyoye.cs,Saba15.Jiyoye.fdr,Saba15.Raji.cs,Saba15.Raji.fdr,Saba17.EOL1,Saba17.HEL,Saba17.MOLM13,Saba17.MonoMac1,Saba17.NB4.rep1,Saba17.NB4.rep2,Saba17.OCI.AML2,Saba17.OCI.AML3,Saba17.OCI.AML5,Saba17.P31.FUJ,Saba17.PL21,Saba17.SKM1,Saba17.TF1,Saba17.THP1,Weis16.csa.MW.pvalue,Weis16.csa.avg,Weis16.csi.MW.pvalue,Weis16.csi.avg,inactivating.mutation,deletion,down_reg_hema_cancer,CGC_tier,Tumour.Types.Somatic.,Tumour.Types.Germline.,Role.in.Cancer,Mutation.Types,GeneType,TSgene
421,NAMPT,ENSG00000105835,0.44,0.023255814,-2.127,0.00379705,-3.077,0.007009866,-2.581,0.000284779,-1.81,0.003165216,-2.205,-2.897,-2.523,-1.418,-1.722,-2.108,-2.006,-2.274,-2.721,-2.527,-1.395,-2.575,-2.728,-3.14,0.985848621,-0.014663214,4.54E-05,-0.089632954,,,,0,NA,NA,NA,NA,NA,0
422,NFE2L3,ENSG00000050344,0.53,0.532450331,0.087,0.233561949,0.091,0.652854679,-0.053,0.894111374,-0.133,0.789856636,0.008,0.439,0.038,0.421,-0.184,-0.147,0.035,0.082,-0.17,0.148,-0.574,0.066,0.422,0.149,0.82333912,0.005125443,0.645104421,-0.001751405,,,,0,NA,NA,NA,NA,NA,0
423,PEX1,ENSG00000127980,0.5,0.490853659,-0.715,0.126029693,-0.633,0.367591975,0.241,0.717966727,-0.21,0.341935838,-0.113,-1.193,-0.335,-0.367,-0.547,-0.087,-0.708,-0.181,-0.046,-0.464,-1.145,-0.538,-1.519,-0.299,0.867629971,0.002746177,2.79E-06,-0.112192115,,,,0,NA,NA,NA,NA,NA,0
424,PUS7,ENSG00000091127,0.46,0.451003542,-0.494,0.254597845,-0.617,0.40474791,-0.436,0.743136761,-0.217,0.618039951,-0.418,-0.648,-1.105,-0.49,-0.26,-0.422,-0.245,-0.563,-0.346,-1.171,-0.205,-0.95,-0.055,-0.812,0.252698259,0.0126574,0.1493831,0.006109282,,,,0,NA,NA,NA,NA,NA,0
425,STEAP1B,ENSG00000105889,0.5,0.434782609,0.428,0.092774561,0.527,0.061840896,0.093,0.694385874,0.333,0.015485115,0.276,0.465,0.467,0.105,0.226,0.498,0.392,-0.032,0.4,0.473,-0.287,0.439,0.691,0.164,0.926536467,0.004866913,0.705963174,-0.05690598,,,,0,NA,NA,NA,NA,NA,0
426,SUN1,ENSG00000164828,0.51,0.492424242,0.335,0.329709508,0.243,0.176013,0.226,0.6293887,-0.097,0.986208134,0.298,0.126,0.449,0.146,0.03,0.075,0.044,0.22,0.05,0.329,-0.536,-0.16,0.146,-0.049,0.375869013,0.008365971,0.19644978,0.018909317,,,,0,NA,NA,NA,NA,NA,0
427,VSTM2A,ENSG00000170419,0,0.25,-0.095,0.988836752,0.33,0.332143309,0.024,0.943078393,0.38,0.274916635,0.175,0.134,-0.279,-0.47,-0.465,-0.266,-0.235,-0.133,-0.444,-0.032,-0.577,-0.259,-0.123,-0.369,0.463329215,-0.002431384,0.982690191,0.005760838,,,,0,NA,NA,NA,NA,NA,0
428,WNT16,ENSG00000002745,0.42,0.142857143,0.15,0.170325136,0.235,0.184971468,0.398,0.172244299,0.389,0.372000633,0.263,0.374,0.11,0.223,0.057,0.04,0.456,0.169,0.406,0.424,-0.027,0.23,0.15,0,0.130149387,-0.015127336,0.002968886,0.028620888,,,,0,NA,NA,NA,NA,NA,0
429,PON2,ENSG00000105854,0.54,0.53815261,0.394,0.126381068,0.378,0.193196348,0.433,0.230746358,0.038,0.961754883,0.376,0.083,0.163,0.108,0.136,0.313,0.379,0.187,0.421,0.224,-0.189,0.349,0.378,0.542,0.512404473,0.013434559,0.363932751,-0.031093261,,,,0,NA,NA,NA,NA,NA,0
430,FAM131B,ENSG00000159784,0.63,0.428571429,0.141,0.274104072,-0.739,0.766506863,-0.05,0.674940916,-0.353,0.867190547,-0.375,0.113,0.094,-0.424,0.03,-0.22,0.114,-0.322,-0.514,-0.235,-0.227,0.16,-0.21,0.051,0.274735806,-0.026715107,0.070776126,0.019612427,,,,2,pilocytic astrocytoma,,fusion,T,NA,0
431,HOXA2,ENSG00000105996,0.67,NA,0.122,0.207655807,-0.486,0.895849711,-0.302,0.944115473,-0.516,0.937848606,-0.715,0.055,-0.8,-0.099,-0.341,-0.211,-0.619,0.082,-0.751,-0.568,-0.552,-0.429,-0.72,-0.741,0.33572908,-0.004591918,0.730564553,0.000149663,,,,0,NA,NA,NA,NA,NA,0
432,AHCYL2,ENSG00000158467,0.5,0.503690685,-0.011,0.709284181,-0.295,0.456763516,0.126,0.778981822,-0.023,0.995517041,-0.1,0.366,0.092,0.069,-0.297,-0.324,0.015,-0.346,-0.016,-0.153,0.461,-0.391,-1.007,-0.039,0.89353766,-0.011428174,0.929798533,-0.007488617,,,,0,NA,NA,NA,NA,NA,0
433,CDK6,ENSG00000105810,0.32,0.472893366,-0.5,0.082958998,-0.044,0.95003921,0.129,0.806535953,-1.764,0.000756238,-3.505,-0.764,-4.949,0.089,-0.452,-0.86,-2.651,-3.017,-2.47,-3.539,-3.16,-3.317,-0.035,-6.342,0.003521581,0.028451921,6.38E-08,-0.145245966,,,,1,ALL,,"oncogene, fusion",T,protein-coding,1
434,EGFR,ENSG00000146648,0.44,0.4,0.035,0.692687367,0.305,0.436523593,0.213,0.676128464,0.315,0.146343117,0.189,0.487,0.106,-0.287,0.225,0.319,0.171,0.224,0.452,0.234,-0.038,0.039,0.448,0.094,0.081424087,-0.013215259,0.078601473,0.000439016,,,,1,"glioma, NSCLC",NSCLC,oncogene,"A, O, Mis",NA,0
435,FAM220A,ENSG00000178397,0.54,0.51372549,-0.003,0.589803179,-0.16,0.815004657,-0.101,0.997623614,-0.477,0.885227444,-0.804,-0.332,0.05,0.011,-0.31,-0.668,-0.378,0.03,-0.168,-0.049,-0.47,-0.343,-1.034,-0.301,0.725275174,0.00351921,0.382214455,0.014577818,,,,0,NA,NA,NA,NA,NA,0
436,MRPS17,ENSG00000239789,0.27,0.275167785,-0.298,0.813205796,-0.14,0.824057784,-0.387,0.536875767,-0.272,0.723254644,-0.255,-0.187,0.015,-0.5,0.052,-0.141,-0.191,0.055,-0.023,-0.59,0.095,-0.212,-0.159,-0.486,0.47502962,0.006596698,3.89E-05,-0.270664047,,,,0,NA,NA,NA,NA,NA,0
437,RNF216,ENSG00000011275,0.48,0.483985765,-0.406,0.841903093,-0.375,0.454221868,-0.275,0.374336578,-0.718,0.571566362,-0.391,-0.256,-0.884,-0.359,-0.766,-0.893,-0.205,-0.508,-0.593,0.004,-0.86,-0.004,-0.263,-0.338,0.200287623,-0.006657984,0.613466582,-0.009941831,,,,0,NA,NA,NA,NA,NA,0
438,SLC25A40,ENSG00000075303,0.52,0.510795455,-0.076,0.935705647,0.163,0.297393865,0.387,0.189078266,-0.027,0.995884836,0.15,0.078,0.467,-0.041,0.36,0.227,0.276,0.046,0.347,0.062,-0.058,0.14,0.165,0.118,0.002893806,0.022720738,7.39E-05,-0.05321993,,,,0,NA,NA,NA,NA,NA,0
439,TFEC,ENSG00000105967,0.5,0.477971234,-0.036,0.975549676,0.058,0.64488714,0.082,0.913613928,-0.038,0.966108813,-0.231,-0.115,0.097,0.069,0.346,0.303,0.184,-0.133,-0.211,-0.372,-0.255,-0.081,-0.035,-0.149,0.730375138,-0.009471186,0.539182389,0.008942619,,,,0,NA,NA,NA,NA,NA,0
440,TRPV6,ENSG00000165125,0.42,0.5,0.261,0.268789269,-0.124,0.880333474,0.469,0.084903871,0.269,0.355761318,0.153,0.033,0.053,0.229,-0.17,0.111,-0.093,0.193,-0.082,0.076,-0.06,0.137,0.068,-0.139,0.453732278,-0.006322506,0.872170336,-0.004645935,,,,0,NA,NA,NA,NA,NA,0
441,AKR1B10,ENSG00000198074,0.5,1,0.351,0.061100528,0.219,0.480838555,0.311,0.24491915,0.325,0.181746452,-0.169,0.046,0.537,0.254,0.022,-0.011,0.346,0.146,0.399,-0.052,0.467,0.149,-0.028,0.07,0.805135536,-0.003953615,0.06203716,-0.027888475,,,,0,NA,NA,NA,NA,NA,0
442,DBF4,ENSG00000006634,0.6,0.428205128,-0.021,0.342392675,-0.709,0.417049069,0.019,0.793803113,-0.036,0.834058365,0.098,-0.345,-0.878,-0.502,-0.487,-0.578,-0.099,-0.432,-1.015,-1.768,-0.418,-0.784,-1.465,-0.4,0.000183038,0.045467898,2.55E-06,-0.048277338,,,,0,NA,NA,NA,NA,NA,0
443,ZC3HAV1L,ENSG00000146858,0.57,0.545454545,-0.152,0.934460515,-0.878,0.538846618,0.047,0.907162993,-0.086,0.614537242,-0.03,-0.161,-0.358,-0.108,-0.026,-0.067,-0.14,-0.639,0.063,-0.258,-0.441,-0.493,-0.381,-0.21,0.016656251,-0.03027043,0.005701675,-0.020388393,,,,0,NA,NA,NA,NA,NA,0
444,BLVRA,ENSG00000106605,0.53,0.480952381,-0.174,0.932067165,-0.421,0.98183141,0.187,0.69250791,-0.497,0.871793576,-0.238,-0.102,-0.146,0.646,0.126,-0.326,0.061,0.358,0.165,-0.024,0.394,-0.048,-0.584,-0.178,0.052476704,-0.036980106,0.446586033,0.003637758,,,,0,NA,NA,NA,NA,NA,0
445,CDK14,ENSG00000058091,0.49,0.522926829,0.103,0.447718211,0.41,0.056452187,0.077,0.856570389,-0.117,0.95480959,0.588,0.284,0.192,-0.114,0.109,0.147,0.135,0.018,0.444,0.203,0.411,-0.061,0.28,0.018,0.563911278,-0.017939656,0.065965972,0.010064044,,,,0,NA,NA,NA,NA,NA,0
446,CREB5,ENSG00000146592,0.5,0.468253968,-0.852,0.722615803,-1.144,0.471013027,-0.43,0.856570389,-0.55,0.863197518,-0.881,-0.94,-0.771,-0.422,-1.33,-0.99,-0.794,-0.417,-0.585,-0.837,-0.989,-1.091,-0.899,-0.851,0.018555762,-0.019993594,0.031281756,-0.015290374,,,,0,NA,NA,NA,NA,NA,0
447,CYP2W1,ENSG00000073067,0.45,0.5,0.13,0.470292397,0.065,0.702111719,0.133,0.633551022,0.021,0.88588622,-0.534,-0.259,-0.464,-0.116,-0.711,-0.618,-0.055,-0.652,-0.541,0.107,-0.471,0.164,0.347,-0.216,0.372730561,0.00817899,0.500284368,-0.027704999,,,,0,NA,NA,NA,NA,NA,0
448,HOXA10,ENSG00000253293,0.49,0.529478458,-0.143,0.611262854,0.181,0.686672564,0.473,0.016986064,0.19,0.762006458,0.407,-0.041,-0.475,0.099,-0.316,-0.291,-0.292,-0.676,0.148,-0.248,0.26,-0.115,0.429,-0.378,0.548323197,-0.02598043,0.404323016,-0.011978288,,,,0,NA,NA,NA,NA,NA,0
449,ZNF783,,NA,NA,-0.599,0.445908937,-0.643,0.798767021,0.347,0.495483367,-0.152,0.817839299,-0.282,-0.671,-0.248,-0.402,-0.331,-0.359,-0.208,-0.366,-0.762,-0.708,-0.276,-0.313,-0.287,-1.027,0.890752391,-0.009610679,0.926097841,-0.011727337,,,,0,NA,NA,NA,NA,NA,0
450,PRSS58,ENSG00000258223,1,1,0.169,0.145612215,0.213,0.347335383,0.206,0.797418085,-0.098,0.912178535,-0.253,0.301,-0.05,0.142,-0.018,0.105,0.336,0.043,0.163,-0.102,0.146,0.137,0.383,0.117,0.860158543,0.00531725,0.034328386,-0.034498239,,,,0,NA,NA,NA,NA,NA,0
451,PIP,ENSG00000159763,0.5,1,0.151,0.3854758,0.133,0.285237258,0.256,0.342874107,-0.339,0.705753609,-0.409,0.341,0.016,0.395,-0.165,-0.319,0.06,-0.138,0.046,-0.015,0.244,0.006,-0.165,-0.059,0.468709344,-0.004864566,0.610197914,-0.002577245,,,,0,NA,NA,NA,NA,NA,0
452,SPAM1,ENSG00000106304,0.52,0.6,0.051,0.593115018,0.013,0.897603067,0.081,0.714625829,0.231,0.393164255,0.212,0.157,0.548,-0.068,0.025,-0.031,0.153,0.121,0.532,0.11,0.006,0.476,-0.039,0.098,0.599632661,-0.002944405,0.568273298,0.01458277,,,,0,NA,NA,NA,NA,NA,0
453,TMEM213,ENSG00000214128,0.38,1,-0.297,0.938015629,-0.55,0.99763464,-0.089,0.959690675,-0.161,0.966269739,-0.406,-0.282,-0.659,-0.225,-0.663,-0.083,-0.377,0.128,-0.784,-0.182,-0.126,-0.374,-0.681,-0.444,0.744305901,-0.007282164,0.35190341,-0.012815108,,,,0,NA,NA,NA,NA,NA,0
454,GIMAP8,ENSG00000171115,0.55,0.466019417,0.108,0.443543632,-0.071,0.646841975,0.312,0.245518811,0.043,0.921290995,-0.039,0.416,-0.183,0.314,0.141,0.047,0.332,0.018,-0.09,-0.149,-0.081,0.212,0.213,0.119,0.869706661,-0.015173862,0.918003955,0.009343244,,,,0,NA,NA,NA,NA,NA,0
455,MOGAT3,ENSG00000106384,0.56,0.5,-0.31,0.699598178,-0.706,0.3525236,0.167,0.545165488,-0.085,0.614537242,-0.389,-0.554,-0.274,0.021,-0.172,-0.73,-0.122,-0.331,0.081,-0.369,0.044,-0.417,-0.21,-0.468,0.486155896,-0.004644369,0.988266008,-0.008368516,,,,0,NA,NA,NA,NA,NA,0
456,AGR2,ENSG00000106541,0.51,0.5,0.164,0.220911837,-0.046,0.450675916,0.105,0.931562388,0.016,0.98324671,0.303,-0.278,0.081,-0.13,-0.105,0.116,0.492,-0.006,0.22,0.118,-0.399,0.182,0.523,0.221,0.757428577,0.003682853,0.231160284,0.005481653,,,,0,NA,NA,NA,NA,NA,0
457,BCL7B,ENSG00000106635,0.5,0.486666667,-0.03,0.578434644,-0.078,0.835824568,0.076,0.75620424,0.244,0.536959249,-0.275,-0.016,0.181,-0.142,0.096,0.028,0.12,-0.381,-0.13,-0.227,-0.338,-0.09,0.204,0.208,0.174515276,0.016382797,0.061509374,0.028945987,,,,0,NA,NA,NA,NA,NA,0
458,CDK5,ENSG00000164885,0.51,0.487234043,0.423,0.022488709,-0.034,0.899536114,0.275,0.577235552,0.275,0.384502453,-0.627,0.344,0.342,0.174,-0.408,0.264,-0.214,-0.055,0.157,-0.543,-0.083,0.586,0.215,0.606,0.479754799,-0.003501643,0.16359585,0.008540949,,,,0,NA,NA,NA,NA,NA,0
459,FAM180A,,NA,NA,0.048,0.610461668,-0.457,0.842569918,0.255,0.623023649,0.172,0.831334014,-0.195,-0.093,-0.564,-0.341,-0.103,-0.67,0.239,0.093,-0.095,0.197,-0.139,-0.236,-0.227,-0.41,0.481388405,-0.006923681,0.873087926,-0.028068853,,,,0,NA,NA,NA,NA,NA,0
460,FOXP2,ENSG00000128573,0.5,0.501718213,-0.103,0.67017166,0.339,0.050476353,0.145,0.799538179,0.206,0.388999782,-0.724,0.034,0.174,0.379,0.311,0.157,-0.114,-0.243,0.518,0.008,0.14,0.102,0.421,-0.375,0.142749028,0.005921426,0.341457457,-0.005301887,,,,0,NA,NA,NA,NA,NA,0
461,GALNTL5,ENSG00000106648,0.5,0.534883721,0.071,0.324141073,-0.295,0.834789235,0.108,0.427780463,-0.011,0.34377495,-0.696,0.191,0.137,-0.228,0.249,-0.333,-0.096,-0.174,-0.506,-0.045,-0.406,-0.231,-0.278,0.059,0.758320835,0.005461221,0.965272455,-0.003764851,,,,0,NA,NA,NA,NA,NA,0
462,HYAL4,ENSG00000106302,0.41,0.222222222,0.334,0.166367529,0.179,0.280098431,0.508,0.097639876,0.499,0.018689069,0.504,0.47,0.367,0.03,0.306,0.201,0.265,0.135,0.55,0.233,-0.167,0.236,0.052,0.385,0.696052307,-0.007290697,0.364394572,-0.013433734,,,,0,NA,NA,NA,NA,NA,0
463,LRRN3,ENSG00000173114,0.5,0.428571429,0.229,0.363511215,0.038,0.763080677,0.189,0.811124241,0.373,0.085379312,-0.074,0.516,0.109,0.193,0.492,0.274,0.311,-0.387,0.089,0.112,-0.275,0.049,0.218,-0.277,0.584124163,-0.009941213,0.886181559,0.006189009,,,,0,NA,NA,NA,NA,NA,0
464,MPP6,ENSG00000105926,0.49,0.521317829,-0.41,0.531963473,-0.403,0.919928668,0.236,0.204869605,-0.013,0.394583795,-0.173,-0.344,-0.746,-0.093,-0.473,0.08,-0.613,-1.28,-0.287,0.329,-0.735,-0.773,-0.052,-0.016,0.544228367,0.00716879,0.988498348,-0.007161277,,,,0,NA,NA,NA,NA,NA,0
465,PILRA,ENSG00000085514,0.48,0.546448087,-0.676,0.676122566,-1.378,0.399343583,-0.396,0.869209051,-0.691,0.639237815,-0.129,-1.096,-1.11,-0.519,-1.015,-0.96,-0.732,-0.908,-1.502,-1.212,-1.019,-0.61,-1.144,-1.194,0.955633878,0.004246572,0.978044311,-0.007470769,,,,0,NA,NA,NA,NA,NA,0
466,PILRB,,NA,NA,-0.297,0.708362737,-1.163,0.929579984,-0.002,0.656625592,-0.179,0.625870577,-0.55,-0.132,-1.074,-0.26,-0.237,-0.817,-0.803,-0.86,-0.406,-0.706,-0.584,0.059,-0.555,-0.776,0.425624386,0.008279499,0.079396361,0.03115576,,,,0,NA,NA,NA,NA,NA,0
467,RAMP3,ENSG00000122679,0.53,0.333333333,0.026,0.868692746,-0.142,0.413991791,0.228,0.787566808,-0.095,0.709964005,0.096,0.08,-0.033,0.39,-0.148,0.196,0.296,0.126,0.039,0.009,-0.584,-0.159,0.165,-0.128,0.104117284,-0.018040172,0.281566128,-0.006825837,,,,0,NA,NA,NA,NA,NA,0
468,SMARCD3,ENSG00000082014,0.5,0.489566613,-0.588,0.809968484,-0.992,0.6085233,-0.719,0.85801896,-0.536,0.93756704,-0.226,-0.469,-0.206,-0.236,-0.608,-1.245,-0.272,-0.257,-0.663,-0.274,-1.023,-0.49,-0.141,-0.497,0.208122645,0.013089484,0.464704232,-0.029152103,,,,0,NA,NA,NA,NA,NA,0
469,SVOPL,ENSG00000157703,0.53,0.505490196,0.249,0.733507574,-0.925,0.661482083,0.29,0.523590642,-0.169,0.917676742,0.23,-0.09,0.081,-0.051,-0.175,0.006,-0.329,-0.072,-0.003,-0.256,-0.056,-0.312,-0.889,0.248,0.603101999,0.000633189,0.456914829,0.015236864,,,,0,NA,NA,NA,NA,NA,0
470,TMEM106B,ENSG00000106460,0.52,0.535714286,0.334,0.104874353,0.353,0.105984624,0.285,0.129724343,0.534,0.017628966,0.25,0.271,-0.129,-0.089,0.075,0.109,0.33,0.295,0.417,0.3,0.279,0.32,-0.013,0.198,0.259324706,-0.007053647,0.343233956,0.007584458,,,,0,NA,NA,NA,NA,NA,0
471,WBSCR27,ENSG00000165171,0.48,0.577777778,-0.568,0.527084635,0.102,0.500452394,-0.323,0.908747682,0.045,0.77781017,-0.504,0.035,-0.544,-0.025,0.187,-0.289,-0.2,-0.06,-0.712,-0.425,0.559,-0.013,-0.283,-0.445,0.7549151,0.012306435,0.730126624,-0.041550751,,,,0,NA,NA,NA,NA,NA,0
472,XRCC2,ENSG00000196584,0.16,0.142493639,-1.401,0.062429888,-0.417,0.534891068,-0.22,0.774139094,0.296,0.038659826,-0.685,-1.571,-1.649,-0.76,-0.392,-0.825,-1.639,-1.106,-1.373,-1.31,-1.159,-1.298,-1.864,-0.79,0.585443339,-0.005801931,0.097946555,-0.045064642,,,,0,NA,NA,NA,NA,NA,0
473,ARF5,ENSG00000004059,0.71,0.6,0.023,0.664748025,-0.147,0.627163497,0.427,0.035299213,0.202,0.388999782,-0.594,0.092,0.62,-0.077,0.23,0.128,0.201,-0.012,0.237,-0.174,-0.871,-0.328,-0.681,-0.521,0.249735247,0.000834971,0.515211554,-0.059372954,,,,0,NA,NA,NA,NA,NA,0
474,HOXA5,ENSG00000106004,1,1,-0.133,0.585761762,-0.308,0.905534554,0.075,0.854299059,-0.445,0.454809253,-0.304,0.053,-0.405,-0.398,-0.408,-0.043,-0.544,-0.219,-0.218,0.051,0.131,0.096,0.046,0.157,0.313134523,-0.007644992,0.295052176,0.010985654,,,,0,NA,NA,NA,NA,NA,0
475,POMZP3,ENSG00000146707,0.67,0.649122807,0.337,0.115514533,0.25,0.104616663,-0.021,0.904305863,0.025,0.713617441,-0.223,0.47,0.068,0.052,0.069,0.093,0.166,-0.2,0.052,0.051,0.289,0.12,-0.148,-0.136,0.816045686,0.002152935,0.472028541,-0.006967938,,,,0,NA,NA,NA,NA,NA,0
476,PRSS1,ENSG00000204983,1,0.6,0.106,0.300150431,-0.056,0.892243629,-0.065,0.903307139,0.23,0.806563409,0.356,0.471,-0.2,-0.081,-0.144,-0.216,0.066,-0.14,0.093,0.084,-0.141,0.027,0.279,-0.081,0.095312553,0.011002817,0.487048627,-0.003800331,,,,0,NA,NA,NA,NA,NA,0
477,EPHB4,ENSG00000196411,0.59,0.648083624,0.042,0.696387273,-0.101,0.878437573,0.392,0.331142056,0.538,0.016141529,0.368,-0.096,-0.347,0.008,0.139,0.08,0.015,-0.152,-0.034,-0.269,-1.061,-0.164,-0.123,0.078,0.74186736,0.002509477,0.090502941,-0.177652254,,,,0,NA,NA,NA,NA,protein-coding,1
478,GPR37,ENSG00000170775,0.57,1,0.095,0.53895162,-0.438,0.788129657,0.068,0.926048011,0.033,0.963831638,-0.002,0.1,0.185,0.173,0.022,0.221,0.199,-0.037,0.036,0.099,-0.225,-0.188,-0.281,-0.148,0.8683221,0.013701565,0.076303877,-0.038458762,,,,0,NA,NA,NA,NA,NA,0
479,IL6,ENSG00000136244,0.58,0.666666667,0.299,0.466111635,0.222,0.363327096,0.065,0.752902163,-0.188,0.748314983,0.374,0.207,0.181,0.297,0.046,-0.065,0.443,-0.089,0.079,0.312,-0.045,-0.138,0.036,-0.075,0.071269605,-0.018818775,0.318758721,-0.015533612,,,,0,NA,NA,NA,NA,NA,0
480,SLC26A5,ENSG00000170615,0.58,0.642857143,-0.099,0.875515372,0.124,0.673997584,-0.131,0.916695868,0.283,0.162300329,-0.199,-0.046,0.158,0.093,-0.014,0.136,0.032,-0.473,-0.419,-0.14,-0.073,-0.063,-0.297,-0.032,0.760552885,0.00692441,0.853856252,-0.002033949,,,,0,NA,NA,NA,NA,NA,0
481,CCL24,ENSG00000106178,0.55,0.666666667,0.054,0.909879353,-0.127,0.813404938,0.247,0.535347376,-0.101,0.993126195,0.388,-0.456,-0.143,-0.549,-0.039,-0.07,-0.226,-0.188,0.15,-0.425,-0.251,0.376,-0.092,-0.67,0.927002334,0.001724436,0.655167547,0.004829476,,,,0,NA,NA,NA,NA,NA,0
482,CYP3A7,ENSG00000160870,0.43,0.857142857,0.2,0.272572277,0.495,0.114784425,0.192,0.550104319,0.298,0.478492192,0.29,0.382,0.503,0.155,0.522,0.395,0.406,-0.078,0.57,0.157,0.354,-0.221,0.57,0.047,0.49278777,0.007345546,0.069693027,-0.03530517,,,,0,NA,NA,NA,NA,NA,0
483,EPO,ENSG00000130427,0.5,1,0.024,0.859178394,0.11,0.446283503,-0.057,0.905073549,0.266,0.478531775,0.02,0.242,0.432,0.044,0.16,0.062,0.245,0.176,0.076,0.132,0.089,-0.008,0.108,-0.212,0.68115761,0.006262245,0.280578289,-0.004859975,,,,0,NA,NA,NA,NA,NA,0
484,FAM71F1,ENSG00000135248,0.46,0.652631579,-0.629,0.289966291,-1.437,0.026984426,0.086,0.611480532,-0.244,0.871886328,-0.475,-0.546,-0.755,-0.414,-0.192,-0.265,-0.041,-0.704,-0.465,-0.392,-0.549,-0.147,-0.64,-0.316,0.128078768,-0.006535533,0.458502123,-0.003332716,,,,0,NA,NA,NA,NA,NA,0
485,HOXA4,ENSG00000197576,NA,1,0.422,0.240208178,0.021,0.685590591,0.034,0.90330258,-0.052,0.7647244,0.083,0.113,-0.256,-0.269,0.152,-0.085,0.052,0.491,-0.215,-0.005,-0.514,-0.09,0.005,0.42,0.317514649,0.007934358,0.128150275,-0.011948552,,,,0,NA,NA,NA,NA,NA,0
486,HTR5A,ENSG00000157219,0.4,1,0.184,0.577595968,-0.236,0.581503976,0.326,0.036059449,0.288,0.071506582,0.035,0.439,0.035,0.215,-0.09,0.224,0.193,-0.217,-0.064,0.148,-0.439,-0.006,0.084,0.135,0.383662509,0.010274333,0.541879903,-0.025043825,,,,0,NA,NA,NA,NA,NA,0
487,LEP,ENSG00000174697,0.18,0.68,0.208,0.157757485,-0.237,0.998419032,-0.072,0.910087729,0.307,0.368156327,0.13,-0.07,0.238,-0.434,0.168,-0.061,0.138,-0.295,0.345,-0.103,-0.478,-0.075,-0.221,0.115,0.558330705,-0.002535165,0.084934303,-0.027996005,,,,0,NA,NA,NA,NA,NA,0
488,OCM,ENSG00000122543,0.36,1,-0.013,0.62872231,-0.244,0.936363619,-0.151,0.662093062,-0.19,0.966220646,-0.417,0.089,0.041,-0.018,0.054,-0.859,0.066,-0.159,-0.269,-0.248,-0.324,-0.447,-0.066,0.029,0.16114613,0.016385509,0.698403788,0.006159293,,,,0,NA,NA,NA,NA,NA,0
489,ORAI2,ENSG00000160991,0.54,0.637065637,-0.065,0.698600574,0.018,0.650878021,0.398,0.21859038,0.357,0.311360175,0.262,0.149,-0.021,0.22,0.038,-0.058,0.131,-0.668,-0.505,-0.422,-0.261,-0.167,-0.241,-0.423,0.793584978,-0.038408272,0.382055853,-0.009804819,,,,0,NA,NA,NA,NA,NA,0
490,PGAM2,ENSG00000164708,0.48,1,-0.182,0.753584518,0.04,0.58498794,-0.204,0.7623712,-0.465,0.881776659,-0.405,-0.01,-0.534,-0.088,-0.443,0.07,-0.286,0.173,-0.113,-0.338,-0.468,0.312,0.086,-0.222,0.499281622,0.013947063,0.103813078,0.005476746,,,,0,NA,NA,NA,NA,NA,0
491,POLR2J,ENSG00000005075,0,0.666666667,-3.224,0.000123985,-3.755,7.28E-05,-3.399,0.000395058,-2.862,0.000104423,-3.448,-4.457,-4.074,-2.235,-2.996,-2.996,-4.014,-2.727,-3.865,-3.166,-1.626,-3.462,-3.129,-4.518,0.063587476,-0.025193985,NA,NA,,,,0,NA,NA,NA,NA,NA,0
492,PPP1R17,ENSG00000106341,0.48,1,0.492,0.037798054,0.097,0.380945978,0.18,0.197287738,0.079,0.899618661,0.124,0.308,0.579,0.495,-0.007,0.118,0.302,0.107,0.293,0.528,-0.218,0.314,0.578,-0.038,0.835223294,0.008395382,0.676545929,-0.008671922,,,,0,NA,NA,NA,NA,NA,0
493,PVRIG,ENSG00000213413,NA,1,-0.003,0.382688481,-0.286,0.941076579,-0.023,0.861872532,-0.356,0.760098642,-0.533,-0.555,-0.814,-1.116,-0.901,0.077,-0.911,-0.164,-1.029,-0.58,-0.288,-0.586,-0.694,-0.341,0.916061422,0.003242572,0.635728864,-0.016077996,,,,0,NA,NA,NA,NA,NA,0
494,SFRP4,ENSG00000106483,0.25,0.6,0.226,0.259471939,0.177,0.462699473,0.339,0.46525189,0.485,0.022418414,-0.058,0.379,-0.516,-0.24,0.098,-0.282,0.228,0.089,0.018,0.351,-0.887,-0.12,0.2,-0.228,0.607605083,0.002688983,0.834711038,0.00399311,,,,1,"colorectal cancer, melanoma, SCC, gastric cancer, oesophageal SCC",,TSG,Mis,protein-coding,1
495,UBE2D4,ENSG00000078967,0.54,0.610561056,0.206,0.339738117,-0.244,0.735754361,0.136,0.46016001,-0.164,0.683824941,0.254,0.169,-0.032,-0.384,-0.238,-0.184,-0.07,-0.034,-0.198,-0.149,-0.411,-0.279,-0.464,-0.126,0.740759787,4.14E-05,0.98083176,0.009125008,,,,0,NA,NA,NA,NA,NA,0
