Gene,N_Silent,N_Missense,N_LOF,N_Splicing,N_TotalMut,CDS_length,Average_Polyphen2Score,HiFI_Missense,Benign,Mutations.per.Kb,LOF/Silent*,LOF/Benign*,pvalue_LOF/Benign,qvalue_LOF/Benign,Splicing/Benign*,pvalue_Splicing/Benign,qvalue_Splicing/Benign,MissDamaging/Benign*,pvalue_MissDamaging/Benign,qvalue_MissDamaging/Benign,pvalue_Deletion_GISTIC2,qvalue_Deletion_GISTIC2,TUSON_p_value_TSG,TUSON_q_value_TSG,TSG_Probability_LASSO,Chromosome
MRPL38,3,11,2,1,17,1143,0.4402857,4,8,14.8731,0.594594595,0.234042553,0.302171069,1,0.106382979,0.234776399,1,0.526315789,0.794461289,1,0.990370466,1,1,1,0.252528529,17
MRPL39,4,12,2,0,18,1062,0.4421818,5,9,16.9492,0.468085106,0.211538462,0.430015261,1,0,1,1,0.571428571,0.744857136,1,0.988950399,1,1,1,0.092123985,21
MRPL4,8,12,1,0,21,936,0.4502222,7,14,22.4359,0.137931034,0.077922078,0.849575536,1,0,1,1,0.516129032,0.862514278,1,0.0872694,0.20219612,1,1,0.048071886,19
MRPL40,1,9,0,0,10,621,0.729,5,5,16.1031,0.117647059,0.03125,1,1,0,1,1,0.923076923,0.268037051,1,0.025452907,0.062548987,1,1,0.115566991,22
MRPL41,5,6,0,0,11,414,0.647,3,8,26.5700,0.035087719,0.021276596,1,1,0,1,1,0.421052632,0.893312979,1,0.000282397,0.000789065,1,1,0.112195941,9
MRPL42,2,7,1,0,10,429,0.3085,3,4,23.3100,0.444444444,0.222222222,0.496375296,1,0,1,1,0.727272727,0.600759883,1,5.93E-07,1.88E-06,1,1,0.302669111,12
MRPL43,2,5,1,1,9,648,0.149,2,3,13.8889,0.444444444,0.272727273,0.35701201,1,0.227272727,0.112127959,1,0.666666667,0.679377095,1,1.16E-22,5.88E-22,1,1,0.577252923,10
MRPL44,2,14,0,0,16,999,0.44675,5,7,16.0160,0.074074074,0.023809524,1,1,0,1,1,0.705882353,0.453939473,1,3.38E-61,3.93E-60,1,1,0.096406777,2
MRPL45,4,11,0,1,16,921,0.231,3,7,17.3724,0.042553191,0.023809524,1,1,0.119047619,0.211683238,1,0.470588235,0.847652101,1,0.000695947,0.001892226,1,1,0.04550219,17
MRPL46,3,7,1,0,11,840,0.5162,4,5,13.0952,0.324324324,0.1875,0.589684012,1,0,1,1,0.769230769,0.541286766,1,0.216509944,0.477190471,1,1,0.264633959,15
MRPL47,1,10,1,0,12,753,0.455875,5,5,15.9363,0.705882353,0.1875,0.598360966,1,0,1,1,0.923076923,0.391078583,1,0.050695809,0.120507383,1,1,0.011367818,3
MRPL48,1,2,1,0,4,639,0.934,2,1,6.2598,0.705882353,0.5,0.259913114,1,0,1,1,1.2,0.365834001,1,0.084926899,0.197005618,1,1,0.065316899,11
MRPL49,3,6,0,1,10,501,0.5415,4,4,19.9601,0.054054054,0.037037037,1,1,0,0.138137518,1,0.909090909,0.428217998,1,0.001236579,0.003303971,1,1,0.036357179,11
MRPL50,1,10,0,0,11,477,0.2744,5,4,23.0608,0.117647059,0.037037037,1,1,0,1,1,1.090909091,0.286882038,1,0.996564915,1,1,1,0.197086355,9
MRPL52,3,2,1,0,6,369,0.513,1,3,16.2602,0.324324324,0.272727273,0.536052819,1,0,1,1,0.444444444,0.878472753,1,0.008232092,0.020983522,1,1,0.292377408,14
MRPL53,1,9,0,0,10,339,0.7582857,6,2,29.4985,0.117647059,0.058823529,1,1,0,1,1,2,0.055998422,0.600158415,0.990141217,1,1,1,0.0582691,2
MRPL54,4,8,0,0,12,417,0.38,3,9,28.7770,0.042553191,0.019230769,1,1,0,1,1,0.380952381,0.926263542,1,5.10E-182,5.91E-180,1,1,0.043724963,19
MRPL55,0,8,2,0,10,387,0.0434,1,6,25.8398,3.142857143,0.297297297,0.252819042,1,0,1,1,0.266666667,0.974986244,1,0.491029347,1,1,1,0.155960558,1
MRPL9,6,15,4,0,25,804,0.4438333,5,10,31.0945,0.626865672,0.368421053,0.134692841,1,0,1,1,0.52173913,0.852075171,1,0.999972681,1,1,1,0.365625513,1
MRPS10,1,5,0,0,6,606,0.628,3,3,9.9010,0.117647059,0.045454545,1,1,0,1,1,0.888888889,0.475518072,1,0.999999605,1,1,1,0.080129105,6
MRPS11,6,3,1,1,11,585,0.5885,2,6,18.8034,0.179104478,0.162162162,0.627054387,1,0.135135135,0.187893165,1,0.4,0.903272057,1,6.02E-11,2.21E-10,1,1,0.100324925,15
MRPS12,1,3,0,0,4,417,0.6506667,2,2,9.5923,0.117647059,0.058823529,1,1,0,1,1,0.857142857,0.541268243,1,0.999999279,1,1,1,0.042737512,19
MRPS14,4,13,0,0,17,387,0.619625,8,8,43.9276,0.042553191,0.021276596,1,1,0,1,1,0.947368421,0.311571602,1,0.257665227,0.56173305,1,1,0.035784071,1
MRPS15,5,10,3,1,19,774,0.4695714,4,9,24.5478,0.561403509,0.307692308,0.215797447,1,0.096153846,0.257193063,1,0.476190476,0.848443538,1,3.50E-13,1.37E-12,1,1,0.592427013,1
MRPS16,5,1,0,0,6,414,0.9295,1,5,14.4928,0.035087719,0.03125,1,1,0,1,1,0.307692308,0.95763468,1,0.865150879,1,1,1,0.124911919,10
MRPS17,3,3,1,0,7,393,0.413,1,4,17.8117,0.324324324,0.222222222,0.477523261,1,0,1,1,0.363636364,0.928246668,1,0.999999998,1,1,1,0.132407289,7
MRPS18A,2,3,0,1,6,591,0.484,1,2,10.1523,0.074074074,0.058823529,1,1,0.294117647,0.085333474,1,0.571428571,0.794171626,1,0.999996169,1,1,1,0.123428473,6
MRPS18B,4,10,1,0,15,777,0.8447273,9,5,19.3050,0.255319149,0.1875,0.521501494,1,0,1,1,1.538461538,0.067606318,0.621617423,0.999952728,1,1,1,0.146865691,6
MRPS18C,2,8,0,0,10,429,0.4846667,3,5,23.3100,0.074074074,0.03125,1,1,0,1,1,0.615384615,0.704285014,1,0.400633185,0.845776137,1,1,0.330942426,4
MRPS2,8,6,0,1,15,891,0.76,5,9,16.8350,0.022988506,0.019230769,1,1,0.096153846,0.257193063,1,0.571428571,0.744857136,1,0.001123175,0.003011309,1,1,0.081804582,9
MRPS21,1,6,0,0,7,264,0.4433333,3,4,26.5152,0.117647059,0.037037037,1,1,0.185185185,1,1,0.727272727,0.600759883,1,0.582383259,1,1,1,0.05620606,1
MRPS22,2,19,1,0,22,1083,0.5703077,8,10,20.3139,0.444444444,0.105263158,0.804220066,1,0,1,1,0.782608696,0.364518513,1,0.508360318,1,1,1,0.016890744,3
MRPS23,4,11,0,0,15,573,0.6986667,6,7,26.1780,0.042553191,0.023809524,1,1,0,1,1,0.823529412,0.453939473,1,1.24E-07,4.05E-07,1,1,0.037796845,17
MRPS24,2,6,2,0,10,504,0.47125,3,4,19.8413,0.814814815,0.407407407,0.125133313,1,0,1,1,0.727272727,0.428217998,1,0.447043796,0.936345712,1,1,0.504767303,7
MRPS25,2,7,1,0,10,522,0.667,5,3,19.1571,0.444444444,0.272727273,0.473887384,1,0,1,1,1.333333333,0.188839984,0.886481429,5.73E-39,4.51E-38,1,1,0.407992428,3
MRPS26,1,3,2,0,6,618,0.406,1,3,9.7087,1.294117647,0.5,0.149033083,1,0,1,1,0.444444444,0.878472753,1,0.322712736,0.691993019,1,1,0.239736122,20
MRPS27,1,9,2,1,13,1245,0.7626,6,3,10.4418,1.294117647,0.5,0.134588794,1,0.227272727,0.112127959,1,1.555555556,0.110406341,0.745415987,1.58E-103,5.02E-102,1,1,0.701955011,5
MRPS28,1,6,1,0,8,564,0.6088,3,3,14.1844,0.705882353,0.272727273,0.434732444,1,0,1,1,0.888888889,0.475518072,1,0.000294389,0.000821711,1,1,0.100419079,8
MRPS30,5,22,4,1,32,1320,0.5247778,13,13,24.2424,0.736842105,0.291666667,0.143455553,1,0.069444444,0.340482488,1,0.965517241,0.228811388,0.953842716,0.999999932,1,1,1,0.337038437,5
MRPS33,2,3,0,0,5,321,0.5345,2,3,15.5763,0.074074074,0.045454545,1,1,0,1,1,0.666666667,0.679377095,1,1.65E-07,5.34E-07,1,1,0.047274068,7
MRPS34,1,3,1,1,6,657,1,2,2,9.1324,0.705882353,0.352941176,0.318204606,1,0.294117647,0.085333474,1,0.857142857,0.541268243,1,0.488784635,1,1,1,0.441445543,16
MRPS35,5,15,1,0,21,972,0.4937692,8,11,21.6049,0.210526316,0.096774194,0.824976547,1,0,1,1,0.72,0.546445054,1,0.999999739,1,1,1,0.044225041,12
MRPS36,1,6,0,0,7,312,0.8072,4,3,22.4359,0.117647059,0.045454545,1,1,0,1,1,1.111111111,0.308528991,1,6.61E-109,2.39E-107,1,1,0.269324815,5
MRPS5,9,16,4,0,29,1293,0.4373333,7,15,22.4285,0.432989691,0.256097561,0.25623213,1,0,1,1,0.484848485,0.893977712,1,0.999970417,1,1,1,0.334394446,2
MRPS6,1,7,0,1,9,378,0.5715,4,3,23.8095,0.117647059,0.045454545,1,1,0.227272727,0.112127959,1,1.111111111,0.308528991,1,0.9999999,1,1,1,0.073712264,21
MRPS7,4,10,1,0,15,729,0.534,6,7,20.5761,0.255319149,0.142857143,0.673570475,1,0,1,1,0.823529412,0.453939473,1,0.684025531,1,1,1,0.085907854,17
MRPS9,4,20,0,2,26,1191,0.4691667,8,15,21.8304,0.042553191,0.012195122,1,1,0.06097561,0.096347071,1,0.545454545,0.832939145,1,2.67E-19,1.21E-18,1,1,0.065432818,2
MRRF,4,8,0,1,13,789,0.3326667,2,7,16.4766,0.042553191,0.023809524,1,1,0.119047619,0.211683238,1,0.352941176,0.936840034,1,0.999999999,1,1,1,0.123867158,9
MRS2,1,20,3,1,25,1332,0.4579333,10,7,18.7688,1.882352941,0.380952381,0.127836077,1,0,0.211683238,1,1.294117647,0.10627339,0.745415987,0.964214761,1,1,1,0.294078685,6
MRTO4,4,12,1,0,17,720,0.523125,8,7,23.6111,0.255319149,0.142857143,0.685110967,1,0,1,1,1.058823529,0.236319092,0.964584672,1.99E-123,1.18E-121,1,1,0.045568131,1
MRVI1,22,38,5,0,65,2658,0.66432,24,33,24.4545,0.22907489,0.151162791,0.618844386,1,0,1,1,0.724637681,0.48017179,1,4.72E-22,2.34E-21,1,1,0.117033357,11
MS4A1,5,23,4,1,33,894,0.5989286,12,10,36.9128,0.736842105,0.368421053,0.148482126,1,0.087719298,0.300075588,1,1.130434783,0.18830035,0.886481429,0.999998833,1,1,1,0.713277958,11
MS4A10,10,20,3,0,33,804,0.4031333,7,17,41.0448,0.299065421,0.173913043,0.437055993,1,0,1,1,0.432432432,0.91911124,1,0.999999252,1,1,1,0.26975791,11
MS4A12,7,24,0,1,32,804,0.3756667,10,18,39.8010,0.025974026,0.010309278,1,1,0.051546392,0.431586601,1,0.564102564,0.773398908,1,0.999999143,1,1,1,0.015627131,11
MS4A13,2,7,3,0,12,459,0.6076,3,6,26.1438,1.185185185,0.432432432,0.106495518,1,0,1,1,0.533333333,0.785784137,1,0.999999419,1,1,1,0.604203016,11
MS4A14,20,69,7,1,97,2040,0.3281967,28,50,47.5490,0.347826087,0.140077821,0.745396606,1,0.019455253,0.786913986,1,0.563106796,0.86714524,1,0.999997759,1,1,1,0.125590454,11
MS4A15,6,9,0,2,17,444,0.599,3,9,38.2883,0.029850746,0.019230769,1,1,0.192307692,0.039593224,0.893571397,0.380952381,0.926263542,1,0.999999558,1,1,1,0.112890513,11
MS4A2,5,26,2,1,34,735,0.4327857,12,17,46.2585,0.385964912,0.119565217,0.757745019,1,0,0.431586601,1,0.702702703,0.524123223,1,0.999998082,1,1,1,0.217160593,11
MS4A3,13,22,1,1,37,645,0.5240667,11,22,57.3643,0.087591241,0.051282051,0.957608912,1,0.042735043,0.524456907,1,0.510638298,0.908035922,1,0.999997358,1,1,1,0.018501914,11
MS4A4A,11,22,0,0,33,663,0.51245,11,19,49.7738,0.017094017,0.009803922,1,1,0,1,1,0.585365854,0.744063302,1,0.999997797,1,1,1,0.011137611,11
MS4A5,1,13,0,1,15,603,0.473,6,5,24.8756,0.117647059,0.03125,1,1,0.15625,0.163385147,1,1.076923077,0.268037051,1,0.999998398,1,1,1,0.082525509,11
MS4A6A,10,20,0,1,31,747,0.4774118,9,16,41.4993,0.018691589,0.011494253,1,1,0.057471264,0.41443284,1,0.571428571,0.803112825,1,0.999998507,1,1,1,0.021495052,11
MS4A6E,9,11,2,0,22,444,0.37175,2,15,49.5495,0.226804124,0.134146341,0.584682649,1,0,1,1,0.181818182,0.998352517,1,0.999964612,1,1,1,0.265175368,11
MS4A7,8,17,1,0,26,723,0.376,7,16,35.9613,0.137931034,0.068965517,0.849979618,1,0,1,1,0.457142857,0.893977712,1,0.999998691,1,1,1,0.04329526,11
MS4A8,11,19,2,0,32,753,0.4298667,8,17,42.4967,0.188034188,0.119565217,0.576457667,1,0,1,1,0.486486486,0.803112825,1,0.999999963,1,1,1,0.060255325,11
MSANTD1,5,7,1,0,13,804,0.8296667,5,5,16.1692,0.210526316,0.1875,0.562955103,1,0,1,1,0.923076923,0.391078583,1,0.888035957,1,1,1,0.089078685,4
MSANTD2,2,11,0,1,14,1524,0.4205,5,6,9.1864,0.074074074,0.027027027,1,1,0.135135135,0.187893165,1,0.8,0.493613193,1,8.64E-80,1.56E-78,1,1,0.072974598,11
MSANTD4,5,19,2,0,26,1038,0.2636154,7,15,25.0482,0.385964912,0.134146341,0.807621707,1,0,1,1,0.484848485,0.862514278,1,3.93E-60,4.44E-59,1,1,0.199255906,11
MSC,12,23,1,0,36,621,0.4812941,13,21,57.9710,0.094488189,0.053571429,0.938159017,1,0,1,1,0.622222222,0.68723592,1,0.999999935,1,1,1,0.002963021,8
MSGN1,7,19,0,0,26,582,0.2094167,6,18,44.6735,0.025974026,0.010309278,1,1,0,1,1,0.358974359,0.96742073,1,0.99556368,1,1,1,0.015671434,2
MSH4,14,52,7,1,74,2811,0.358,18,41,26.3252,0.489795918,0.169811321,0.491048155,1,0.023584906,0.713134055,1,0.447058824,0.946427368,1,0.000832305,0.002252808,1,1,0.140295485,1
MSH5,8,33,1,2,44,2556,0.2781304,11,24,17.2144,0.137931034,0.047244094,0.95989999,1,0.039370079,0.176189763,1,0.470588235,0.908035922,1,0.999959727,1,1,1,0.018846305,6
MSH5-SAPCD1,0,1,0,0,1,573,0.066,0,1,1.7452,0.285714286,0.083333333,1,1,0,1,1,0.4,1,1,0.999959727,1,1,1,0.128289861,6
MSH6,15,60,8,1,84,4083,0.6123514,31,38,20.5731,0.522292994,0.208121827,0.156493565,1,0.025380711,0.686371003,1,0.810126582,0.290125175,1,0.999950515,1,1,1,0.529699636,2
MSI1,13,17,2,3,35,1089,0.7162222,12,18,32.1396,0.160583942,0.113402062,0.695526598,1,0.103092784,0.022533404,0.734095673,0.666666667,0.610643849,1,0.015343587,0.038367183,1,1,0.287188688,12
MSI2,4,23,1,1,29,756,0.5364,12,10,38.3598,0.255319149,0.105263158,0.766190602,1,0.087719298,0.278953046,1,1.130434783,0.140520432,0.832196208,0.999272624,1,1,1,0.035276747,17
MSL1,3,12,2,2,19,1242,0.4244,7,7,15.2979,0.594594595,0.261904762,0.369654949,1,0.119047619,0.026937952,0.813942632,0.941176471,0.334311308,1,0.987239648,1,1,1,0.051327055,17
MSL2,10,35,5,0,50,1734,0.4972,21,19,28.8351,0.485981308,0.254901961,0.147678362,1,0,1,1,1.073170732,0.093619926,0.735247775,0.999942924,1,1,1,0.340030019,3
MSLN,13,25,0,2,40,1893,0.2708889,7,25,21.1305,0.01459854,0.007575758,1,1,0.075757576,0.186800083,1,0.301886792,0.993170175,1,6.63E-16,2.75E-15,1,1,0.014599925,16
MSMB,2,4,2,0,8,345,0.6476667,2,3,23.1884,0.814814815,0.5,0.148795042,1,0,1,1,0.666666667,0.679377095,1,0.97944329,1,1,1,0.577039629,10
MSMO1,1,15,2,1,19,882,0.7001,8,6,21.5420,1.294117647,0.297297297,0.245913006,1,0.135135135,0.187893165,1,1.2,0.168343766,0.876560863,1.20E-26,6.97E-26,1,1,0.480056705,4
MSMP,5,6,2,0,13,420,0.51275,4,6,30.9524,0.385964912,0.297297297,0.201578327,1,0,1,1,0.666666667,0.641425555,1,0.999898429,1,1,1,0.385641114,9
MSN,9,46,5,3,63,1734,0.4336765,16,29,36.3322,0.536082474,0.171052632,0.60888268,1,0.065789474,0.066408885,1,0.557377049,0.812210171,1,1,1,1,1,0.16346508,X
MSR1,12,58,7,6,83,1356,0.5280278,30,34,61.2094,0.566929134,0.203389831,0.40492163,1,0.141242938,0.001030118,0.170489235,0.873239437,0.201099123,0.904617443,4.22E-59,4.69E-58,1,1,0.179396766,8
MSRA,8,12,2,0,22,708,0.368375,6,13,31.0734,0.252873563,0.152777778,0.597337967,1,0,1,1,0.482758621,0.857005586,1,1.17E-60,1.34E-59,1,1,0.195865302,8
MSRB1,0,7,0,0,7,351,0.486,4,3,19.9430,0.285714286,0.045454545,1,1,0,1,1,1.111111111,0.308528991,1,1.23E-191,1.52E-189,1,1,0.209565663,16
MSRB2,5,5,1,0,11,549,0.6268,3,7,20.0364,0.210526316,0.142857143,0.637311297,1,0,1,1,0.470588235,0.847652101,1,0.999999855,1,1,1,0.05282686,10
MSRB3,5,13,0,0,18,558,0.3554,5,12,32.2581,0.035087719,0.014925373,1,1,0,1,1,0.444444444,0.918789862,1,0.999999997,1,1,1,0.012277262,12
MSS51,5,11,0,0,16,1383,0.1311111,1,13,11.5691,0.035087719,0.013888889,1,1,0,1,1,0.137931034,0.999374312,1,0.991591316,1,1,1,0.053690417,10
MST1,11,46,3,2,62,2178,0.5344286,26,24,28.4665,0.273504274,0.125984252,0.626526406,1,0,0.176189763,1,1.058823529,0.075283441,0.65438142,1.62E-76,2.59E-75,1,1,0.113861038,3
MST1L,1,9,2,1,13,1695,0.44,5,3,7.6696,1.294117647,0.5,0.120704801,1,0.227272727,0.112127959,1,1.333333333,0.188839984,0.886481429,1.04E-125,6.59E-124,1,1,0.353874229,1
MST1R,30,62,3,0,95,4203,0.5422326,38,45,22.6029,0.104234528,0.068965517,0.894827231,1,0,1,1,0.838709677,0.207490956,0.920948634,2.59E-77,4.28E-76,1,1,0.060077947,3
MST4,4,19,1,4,28,1251,0.4172,10,13,22.3821,0.255319149,0.083333333,0.866119303,1,0.277777778,0.001290174,0.194276866,0.75862069,0.481353672,1,1,1,1,1,0.260867651,X
MSTN,6,24,1,0,31,1128,0.5583889,14,15,27.4823,0.179104478,0.073170732,0.892602948,1,0,1,1,0.909090909,0.268032431,1,0.999984486,1,1,1,0.014755033,2
MSTO1,1,7,0,0,8,1713,0.34825,2,3,4.6702,0.117647059,0.045454545,1,1,0,1,1,0.666666667,0.679377095,1,0.999970834,1,1,1,0.046531674,1
MT-CO2,1,2,0,0,3,684,1,2,1,4.3860,0.117647059,0.083333333,1,1,0,1,1,1.2,0.365834001,1,1,1,1,1,0.29593594,25
MT1A,2,1,0,0,3,186,0.998,1,2,16.1290,0.074074074,0.058823529,1,1,0,1,1,0.571428571,0.794171626,1,0.999383094,1,1,1,0.240115791,16
MT1B,0,2,0,0,2,186,0.0965,0,1,10.7527,0.285714286,0.083333333,1,1,0,1,1,0.4,1,1,0.99926207,1,1,1,0.279591958,16
MT1E,1,2,0,0,3,186,0.684,1,1,16.1290,0.117647059,0.083333333,1,1,0,1,1,0.8,0.651392418,1,0.999474768,1,1,1,0.285321499,16
MT1F,0,1,0,0,1,186,0.473,0,1,5.3763,0.285714286,0.083333333,1,1,0,1,1,0.4,1,1,0.99926229,1,1,1,0.329443981,16
MT1G,2,8,0,0,10,186,0.1261429,0,7,53.7634,0.074074074,0.023809524,1,1,0,1,1,0.117647059,1,1,0.999262493,1,1,1,0.020468256,16
MT1H,5,6,1,1,13,186,0.001333333,0,11,69.8925,0.210526316,0.096774194,0.731185497,1,0.080645161,0.300075588,1,0.08,1,1,0.999431724,1,1,1,0.129922809,16
MT1M,3,6,0,0,9,186,0.74,5,4,48.3871,0.054054054,0.037037037,1,1,0,1,1,1.090909091,0.286882038,1,0.999512255,1,1,1,0.170547817,16
MT1X,1,1,0,0,2,186,0.995,1,1,10.7527,0.117647059,0.083333333,1,1,0,1,1,0.8,0.651392418,1,0.999419833,1,1,1,0.283591763,16
MT2A,1,4,0,0,5,186,0.671,3,2,26.8817,0.117647059,0.058823529,1,1,0,1,1,1.142857143,0.334104965,1,0.999362122,1,1,1,0.243822142,16
MT3,1,0,0,0,1,207,NA,0,1,4.8309,0.117647059,0.083333333,1,1,0,1,1,0.4,1,1,0.999790464,1,1,1,0.27312054,16
MT4,1,3,2,0,6,189,NA,1,3,31.7460,1.294117647,0.5,0.153529533,1,0,1,1,0.444444444,0.928246668,1,0.999790388,1,1,1,0.27312054,16
MTA1,10,29,4,0,43,2148,0.5705556,15,19,20.0186,0.392523364,0.205882353,0.360984193,1,0,1,1,0.780487805,0.416787752,1,4.01E-06,1.24E-05,1,1,0.286557967,14
MTA2,12,40,4,0,56,2007,0.5790385,25,17,27.9023,0.330708661,0.22826087,0.334917508,1,0,1,1,1.405405405,0.011415618,0.271476724,0.999997557,1,1,1,0.313469451,11
MTA3,10,19,1,0,30,1785,0.4254667,9,18,16.8067,0.112149533,0.06185567,0.928189774,1,0,1,1,0.512820513,0.841637786,1,0.999899813,1,1,1,0.143456698,2
MTAP,6,11,2,0,19,852,0.4806667,5,11,22.3005,0.328358209,0.177419355,0.533883314,1,0,1,1,0.48,0.852075171,1,0,0,1,1,0.162885649,9
MTBP,13,36,4,2,55,2715,0.431375,14,27,20.2578,0.306569343,0.147887324,0.587734615,1,0.070422535,0.208262557,1,0.526315789,0.852394573,1,0.595949533,1,1,1,0.15318475,8
MTCH1,2,14,2,0,18,1119,0.6226,9,5,16.0858,0.814814815,0.34375,0.167260584,1,0,1,1,1.538461538,0.040100294,0.505087244,0.999999598,1,1,1,0.113473136,6
MTCH2,4,8,2,1,15,912,0.4507143,3,7,16.4474,0.468085106,0.261904762,0.299688762,1,0.119047619,0.211683238,1,0.470588235,0.847652101,1,1,1,1,1,0.497064533,11
MTCP1,5,5,1,0,11,207,0.195,1,9,53.1401,0.210526316,0.115384615,0.773142571,1,0,1,1,0.19047619,0.994851459,1,0.281885796,0.61061635,1,1,0.057130844,X
MTDH,8,30,3,0,41,1749,0.6852593,21,16,23.4420,0.367816092,0.183908046,0.504151628,1,0,1,1,1.257142857,0.052811518,0.581771931,1,1,1,1,0.019955719,8
MTERF,6,18,1,0,25,1200,0.4326667,8,13,20.8333,0.179104478,0.083333333,0.863037404,1,0,1,1,0.620689655,0.68310213,1,0.005112132,0.013172784,1,1,0.038103587,7
MTERFD1,8,20,4,1,33,1254,0.3684706,8,15,26.3158,0.482758621,0.256097561,0.243391852,1,0.06097561,0.378556683,1,0.545454545,0.705915285,1,0.005647715,0.014518808,1,1,0.100272883,8
MTERFD2,4,23,3,0,30,1146,0.3891111,7,14,26.1780,0.680851064,0.207792208,0.436407621,1,0,1,1,0.516129032,0.82375863,1,1.70E-120,8.62E-119,1,1,0.127013513,2
MTERFD3,6,12,1,0,19,1158,0.463,7,9,16.4076,0.179104478,0.115384615,0.786315522,1,0,1,1,0.761904762,0.504430081,1,3.41E-10,1.21E-09,1,1,0.072539092,12
MTF1,9,43,5,0,57,2262,0.405875,16,30,25.1989,0.536082474,0.165605096,0.442292069,1,0,1,1,0.53968254,0.791628032,1,0.670265558,1,1,1,0.067277362,1
MTF2,3,21,3,0,27,1782,0.588,11,11,15.1515,0.864864865,0.258064516,0.296226004,1,0,1,1,0.96,0.18830035,0.886481429,4.39E-17,1.86E-16,1,1,0.179160058,1
MTFMT,7,9,1,1,18,1170,0.8651667,6,8,15.3846,0.155844156,0.127659574,0.712651783,1,0,0.234776399,1,0.736842105,0.543660597,1,0.000166559,0.000473974,1,1,0.167655739,15
MTFP1,1,7,1,0,9,501,1,4,3,17.9641,0.705882353,0.272727273,0.310210883,1,0,1,1,1.111111111,0.308528991,1,0.999999986,1,1,1,0.425076593,22
MTFR1,8,13,3,0,24,1002,0.4228182,6,12,23.9521,0.367816092,0.23880597,0.349724942,1,0,1,1,0.518518519,0.814147015,1,0.999999727,1,1,1,0.030350262,8
MTFR2,4,13,1,0,18,1158,0.4114,5,12,15.5440,0.255319149,0.089552239,0.836753924,1,0,1,1,0.444444444,0.889722405,1,2.14E-14,8.68E-14,1,1,0.045691,6
MTG1,10,15,1,1,27,1005,0.2254545,4,17,26.8657,0.112149533,0.065217391,0.900560279,1,0.054347826,0.41443284,1,0.27027027,0.991226713,1,4.82E-41,3.90E-40,1,1,0.072558821,10
MTHFD1,9,45,3,4,61,2808,0.5239,21,30,21.7236,0.329896907,0.101910828,0.83491238,1,0.095541401,0.018704586,0.687243882,0.698412698,0.585669563,1,7.99E-23,4.07E-22,1,1,0.167104256,14
MTHFD2,2,12,0,0,14,747,0.5238182,6,8,18.7416,0.074074074,0.021276596,1,1,0,1,1,0.736842105,0.543660597,1,3.56E-12,1.36E-11,1,1,0.047346497,2
MTHFD2L,1,12,2,0,15,870,0.622,8,5,17.2414,1.294117647,0.34375,0.231433113,1,0,1,1,1.384615385,0.11077951,0.745415987,6.72E-13,2.62E-12,1,1,0.275196032,4
MTHFR,15,37,4,0,56,1971,0.4840333,18,28,28.4120,0.267515924,0.142857143,0.599029493,1,0,1,1,0.644067797,0.629985752,1,6.89E-110,2.55E-108,1,1,0.21700299,1
MTHFS,4,8,0,0,12,612,0.6975714,6,5,19.6078,0.042553191,0.03125,1,1,0,1,1,1.076923077,0.268037051,1,4.56E-10,1.61E-09,1,1,0.112849992,15
MTHFSD,8,10,2,1,21,1149,0.510625,5,12,18.2768,0.252873563,0.164179104,0.533825574,1,0.074626866,0.320579359,1,0.444444444,0.889722405,1,5.73E-48,5.13E-47,1,1,0.487006538,16
MTIF2,7,36,4,2,49,2184,0.5773478,17,23,22.4359,0.545454545,0.172131148,0.507864218,1,0.081967213,0.176189763,1,0.734693878,0.533094618,1,0.999951579,1,1,1,0.172042536,2
MTIF3,4,9,2,0,15,837,0.6488333,5,8,17.9211,0.468085106,0.234042553,0.487971675,1,0,1,1,0.631578947,0.543660597,1,1.28E-18,5.72E-18,1,1,0.054378948,13
MTM1,5,48,4,0,57,1812,0.3560571,21,30,31.4570,0.736842105,0.133757962,0.668855858,1,0,1,1,0.698412698,0.540524479,1,1,1,1,1,0.0478384,X
MTMR10,4,27,3,0,34,1371,0.452619,15,11,24.7994,0.680851064,0.258064516,0.262574793,1,0,1,1,1.28,0.042215926,0.505087244,5.37E-45,4.58E-44,1,1,0.358139192,15
MTMR11,15,36,4,1,56,1923,0.4975,15,29,29.1212,0.267515924,0.138157895,0.568978183,1,0.032894737,0.59014725,1,0.524590164,0.860242701,1,0.999988801,1,1,1,0.07462806,1
MTMR12,10,40,6,1,57,2244,0.5944,25,20,25.4011,0.579439252,0.289719626,0.105776675,1,0.046728972,0.464401321,1,1.209302326,0.01127473,0.271476724,0.999993287,1,1,1,0.165605405,5
MTMR14,14,21,1,1,37,1953,0.5122857,10,22,18.9452,0.081632653,0.051282051,0.947386201,1,0.042735043,0.524456907,1,0.468085106,0.941163346,1,3.51E-33,2.44E-32,1,1,0.108044042,3
MTMR2,8,25,2,0,35,1716,0.5921,15,17,20.3963,0.252873563,0.119565217,0.771492767,1,0,1,1,0.864864865,0.360514153,1,1.40E-13,5.56E-13,1,1,0.046062093,11
MTMR3,9,43,4,0,56,3597,0.4831538,18,29,15.5685,0.432989691,0.138157895,0.594298871,1,0,1,1,0.62295082,0.629985752,1,1,1,1,1,0.235428167,22
